Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""Arthur's Eyes""",1,1a,7-Oct-96,"After waking up late one night, D.W. finds pictures of Arthur before he had glasses. He tells her the story of when he first started needing them and the teasing that followed.",https://static.wikia.nocookie.net/arthur/images/f/f0/Picture_4.png/revision/latest?cb=20100601154336,https://arthur.fandom.com/wiki/Arthur%27s_Eyes_(episode)
"""Francine's Bad Hair Day""",1,1b,7-Oct-96,"School Picture Day is just around the corner, and Muffy wants to make sure Francine has a photo to be proud off, unlike last year's. However, she doesn't seem interested in the rush and is in fact interested in a kickball game.",https://static.wikia.nocookie.net/arthur/images/5/52/1x01b.png/revision/latest?cb=20100426025625,https://arthur.fandom.com/wiki/Francine%27s_Bad_Hair_Day
"""Arthur and the Real Mr. Ratburn""",1,2a,8-Oct-96,"Arthur and his friends are horrified when they learn that their third grade teacher will be the infamous Mr. Ratburn. He is described by Prunella as a cruel vampire with hypnotic powers who eats nails for breakfast without milk. Arthur and Buster, along with Francine, try to investigate.",https://static.wikia.nocookie.net/arthur/images/7/70/Arthur_and_the_Real_Mr._Ratburn.png/revision/latest?cb=20100426031942,https://arthur.fandom.com/wiki/Arthur_and_the_Real_Mr._Ratburn
"""Arthur's Spelling Trubble""",1,2b,8-Oct-96,"Arthur practices for the spelling bee and competes against Prunella and the Brain, last year's winner and the smartest kid in his class, respectively. Even with the support of his family, he is nervous.",https://static.wikia.nocookie.net/arthur/images/f/fb/Arthur%27s_Spelling_Trubble.png/revision/latest?cb=20100519172903,https://arthur.fandom.com/wiki/Arthur%27s_Spelling_Trubble
"""D.W. All Wet""",1,3a,9-Oct-96,"On a hot summer day, D.W. and her preschool class go on a field trip to the aquarium. When a shark swims by, her classmates hide while she teases it, but when an octopus appears, she is the only one afraid. The Reads go to Bear Lake to escape from the summer heat and everyone is having a wonderful time, except for D.W. who won't swim because she thinks there are octopuses there.",https://static.wikia.nocookie.net/arthur/images/9/9d/1x03a.png/revision/latest?cb=20100519173743,https://arthur.fandom.com/wiki/D.W._All_Wet_(episode)
"""Buster's Dino Dilemma""",1,3b,9-Oct-96,"Mr. Ratburn's make a long-awaited field trip to a Rainbow Rock State Park. On his own, Buster discovers a fossilized dinosaur footprint and takes it home. Despite it being against museum rules, he doesn't want to relinquish his find.",https://static.wikia.nocookie.net/arthur/images/1/1a/1x03b.png/revision/latest?cb=20100512035210,https://arthur.fandom.com/wiki/Buster%27s_Dino_Dilemma_(episode)
"""D.W.'s Imaginary Friend""",1,4a,10-Oct-96,"D.W. has a new imaginary friend named Nadine who follows her everywhere. When Arthur and Buster find out about a new amusement ride at Wonderworld, they don't want her to come along and embarrass them because she would bring Nadine.",https://static.wikia.nocookie.net/arthur/images/3/38/D.W.%27s_Imaginary_Friend.png/revision/latest?cb=20100616174935,https://arthur.fandom.com/wiki/D.W.%27s_Imaginary_Friend
"""Arthur's Lost Library Book""",1,4b,10-Oct-96,"Everyone loves the Scare-Your-Pants-Off book series and the new addition is coming out. Arthur is the first to borrow it along with many other books at the same time, but when he collects the ones scattered around the house, he can't find it.",https://static.wikia.nocookie.net/arthur/images/a/a6/1x04b.png/revision/latest?cb=20190906131151,https://arthur.fandom.com/wiki/Arthur%27s_Lost_Library_Book
"""Arthur's Pet Business""",1,5a,11-Oct-96,"Arthur wants a dog very badly but his parents will not allow him to have one until he proves he is responsible enough. He starts his own pet business to prove it, which includes watching over Mrs. Wood's unfriendly dog, Perky.",https://static.wikia.nocookie.net/arthur/images/c/ca/Perky.png/revision/latest?cb=20200501191742,https://arthur.fandom.com/wiki/Arthur%27s_Pet_Business_(episode)
"""D.W. the Copycat""",1,5b,11-Oct-96,"Arthur doesn't like to play with D.W. because she likes ""baby"" stuff and not what he likes, so she starts acting and dressing like him and following him around, even into the bathroom.",https://static.wikia.nocookie.net/arthur/images/0/0e/D.W._the_Copycat.png/revision/latest?cb=20100614201011,https://arthur.fandom.com/wiki/D.W._the_Copycat
"""Locked in the Library!""",1,6a,14-Oct-96,"Francine, who has been friends with Arthur since preschool, is mad at him for telling everyone she looks like a marshmallow when she wears a white sweater. Mr. Ratburn assigns them to work together on a project on heroes. With her still mad at him, they go to the library together to research their project and get locked in for the weekend. As they try to find a way out, they realize their friendship.",https://static.wikia.nocookie.net/arthur/images/4/40/Lockedin.png/revision/latest?cb=20100518190759,https://arthur.fandom.com/wiki/Locked_in_the_Library
"""Arthur Accused!""",1,6b,14-Oct-96,"Arthur is in charge of the fundraiser for the Elwood City Fire Department. He leaves a bag of quarters from it for Mrs. MacGrady, who is distracted by a phone conversation. When she doesn't receive them, Arthur is accused of stealing them, giving Buster his first case as a Private Eye.",https://static.wikia.nocookie.net/arthur/images/7/72/Accusation.png/revision/latest?cb=20100514205334,https://arthur.fandom.com/wiki/Arthur_Accused!_(episode)
"""Arthur Goes to Camp""",1,7a,15-Oct-96,Arthur and his friends go to Camp Meadowcroak where everything is a competition between boys and girls. The final day arrives and they must work together to compete against Camp Horsewater in order to win the all-camp scavenger hunt.,https://static.wikia.nocookie.net/arthur/images/5/5b/1x07a.png/revision/latest?cb=20150118065426,https://arthur.fandom.com/wiki/Arthur_Goes_to_Camp_(episode)
"""Buster Makes the Grade""",1,7b,15-Oct-96,"Buster's marks continue to fall and he will have to repeat third grade if he doesn't get a B on the next test. Arthur, Francine, and Muffy tutor him, but he still doesn't seem interested in studying.",https://static.wikia.nocookie.net/arthur/images/a/a9/1x07b.png/revision/latest?cb=20140110024909,https://arthur.fandom.com/wiki/Buster_Makes_the_Grade
"""Arthur's New Puppy""",1,8a,16-Oct-96,"Arthur's new puppy, Pal (from ""Arthur's Pet Business""), is exactly what he wanted, but he must train him to be a good dog or he will have to move out of the house.",https://static.wikia.nocookie.net/arthur/images/e/ee/1x08a.png/revision/latest?cb=20100516044854,https://arthur.fandom.com/wiki/Arthur%27s_New_Puppy_(episode)
"""Arthur Bounces Back""",1,8b,16-Oct-96,"Arthur wants Moon Boots and tries different ways to get money to buy them. His mom wants him to clean the garage for $2. As he is doing so, Mrs. Tibble comes by, thinking there's a yard sale and buys a necklace, giving him enough money to buy the Moon Boots.",https://static.wikia.nocookie.net/arthur/images/f/f4/1x08b.png/revision/latest?cb=20100601022214,https://arthur.fandom.com/wiki/Arthur_Bounces_Back
"""Arthur Babysits""",1,9a,17-Oct-96,"Arthur thinks that babysitting is the easiest job in the world until D.W. volunteers him to her friends, the Tibble twins. Prunella describes her sister's only time babysitting them as an experience that still gives her nightmares. Naturally, Arthur is nervous, but he eventually lays things down with them.",https://static.wikia.nocookie.net/arthur/images/1/1a/1x09a.png/revision/latest?cb=20100516194108,https://arthur.fandom.com/wiki/Arthur_Babysits_(episode)
"""Arthur's Cousin Catastrophe""",1,9b,17-Oct-96,"The Reads are hosting a family reunion at their house. Arthur spends his time avoiding his cousin, Mo', because of experiences from past family reunions.",https://static.wikia.nocookie.net/arthur/images/4/43/1x09b.png/revision/latest?cb=20100516200943,https://arthur.fandom.com/wiki/Arthur%27s_Cousin_Catastrophe
"""Arthur's Birthday""",1,10a,18-Oct-96,Arthur and Muffy have their birthday parties on the same day and neither can change the date. This splits the boys and girls. Arthur and Francine come up with a plan to remedy the situation.,https://static.wikia.nocookie.net/arthur/images/b/b6/1x10a.png/revision/latest?cb=20100525043951,https://arthur.fandom.com/wiki/Arthur%27s_Birthday_(episode)
"""Francine Frensky, Superstar""",1,10b,18-Oct-96,"Francine has often had bad roles in school plays where she gets injured. She finally gets a safer role as the lead, when Mr. Ratburn decides they will dramatize the story of Thomas Edison. While she is trying to make the best of a good opportunity for her to shine, she alienates her friends as she studies for the role and bosses them around.",https://static.wikia.nocookie.net/arthur/images/3/35/1x10b.png/revision/latest?cb=20100524182344,"https://arthur.fandom.com/wiki/Francine_Frensky,_Superstar"
"""Arthur's Baby""",1,11a,21-Oct-96,"Arthur tells the story of when his mom was pregnant with his baby sister, Kate. He was nervous, wondering what it would be like to have a new baby in the house. When Kate was brought home from the hospital, he was worried that she hated him, as she always cried when he was around. It wasn't until he was forced to watch her that he realized how wrong he was.",https://static.wikia.nocookie.net/arthur/images/1/19/Vlcsnap-2014-07-12-16h23m08s10.jpg/revision/latest?cb=20171030040225,https://arthur.fandom.com/wiki/Arthur%27s_Baby_(episode)
"""D.W.'s Baby""",1,11b,21-Oct-96,"Arthur tells D.W how she acted when Kate was born, starting after she was brought home from the hospital in ""Arthur's Baby"". D.W. is excited but frustrated when she doesn't get to help with Kate. Kate's crib is moved into D.W.'s room but D.W. soon finds drawbacks to sharing a room with her. D.W. soon becomes jealous over the attention Kate is getting. She tries lots of things to get rid of her.",https://static.wikia.nocookie.net/arthur/images/b/b9/1x11b.png/revision/latest?cb=20141220091618,https://arthur.fandom.com/wiki/D.W.%27s_Baby
"""Arthur Writes a Story""",1,12a,22-Oct-96,"Arthur needs to write a story for homework, so he decides to write about how he got Pal (""Arthur's Pet Business"".) He is afraid that no one will like it after D.W. informs him that it's boring. He begins fictionalizing the events and revising the story using advice from different people, as he tries to write a good one.",https://static.wikia.nocookie.net/arthur/images/e/e1/1x12a.png/revision/latest?cb=20100524181616,https://arthur.fandom.com/wiki/Arthur_Writes_a_Story
"""Arthur's Lost Dog""",1,12b,22-Oct-96,"It's Downtown Day in Elwood City and the Reads are attending the event. They pass Pickles the Clown giving out balloons. Kate begins to cry and no one knows why, except for Pal who knows she wants one. He runs off after Pickles to get one, but Arthur thinks he's running away from him.",https://static.wikia.nocookie.net/arthur/images/b/be/1x12b.png/revision/latest?cb=20100524180824,https://arthur.fandom.com/wiki/Arthur%27s_Lost_Dog
"""So Long, Spanky""",1,13a,23-Oct-96,"D.W.'s pet bird, Spanky, dies. She leaves a can of flowers on his grave after his funeral but finds a toad in there. Arthur takes her to the pet store to buy a new pet to replace Spanky, but they don't find one. The toad reappears several more times, following her, but she hates it since it won't leave her alone. When it doesn't reappear, she realizes that she misses it.",https://static.wikia.nocookie.net/arthur/images/5/58/1x13a.png/revision/latest?cb=20100524195704,"https://arthur.fandom.com/wiki/So_Long,_Spanky"
"""Buster's New Friend""",1,13b,23-Oct-96,"Arthur and Buster are doing a project together, but Buster doesn't seem to have the time for it, Arthur, or anyone else. All he does is talk about his new friend, Mike. Arthur decides to return everything related to Buster. At Buster's house they become friends again and he finds out Mike isn't just another kid to replace him.",https://static.wikia.nocookie.net/arthur/images/8/8f/1x13b.png/revision/latest?cb=20100524195956,https://arthur.fandom.com/wiki/Buster%27s_New_Friend
"""Arthur the Wrecker""",1,14a,24-Oct-96,"Arthur is addicted to a new computer game, Deep, Dark Sea, playing it even when he shouldn't. When he gets to a new area he's excited about, he calls up Buster. When it appears that they have broken the computer, they look for the Brain to help them fix it, but he can't find the problem.",https://static.wikia.nocookie.net/arthur/images/4/43/1x14a.png/revision/latest?cb=20100524174321,https://arthur.fandom.com/wiki/Arthur_the_Wrecker
"""Arthur and the True Francine""",1,14b,24-Oct-96,"Muffy and Francine were best friends since second grade, when Muffy was a new student. They decide to study together for an upcoming math test, but Muffy continually procrastinates, claiming that she knows her addition and subtraction. When the test day comes, she cheats off of Francine's test and claims that she would never do so, getting Francine into trouble.",https://static.wikia.nocookie.net/arthur/images/b/ba/1x14b.png/revision/latest?cb=20100603173433,https://arthur.fandom.com/wiki/Arthur_and_the_True_Francine
"""Arthur's Family Vacation""",1,15a,25-Oct-96,"Arthur wants to go back to Camp Meadowcroak (from ""Arthur Goes to Camp"") with Buster for the summer and tries to get out of the family vacation to the beach. He changes his mind with the mention of lobster and after several impediments, they finally make it there. They lose their hotel reservation and stay in a leaky rundown hotel as it rains for days. Things eventually start to get better.",https://static.wikia.nocookie.net/arthur/images/f/fb/1x15a.png/revision/latest?cb=20100617160406,https://arthur.fandom.com/wiki/Arthur%27s_Family_Vacation
"""Grandpa Dave's Old Country Farm""",1,15b,25-Oct-96,"Arthur and D.W. go to visit Grandpa Dave who lives on an old rundown farm. It has been in the family for 150 years and he doesn't want help running it. Arthur and D.W. are concerned by the state of things there and try to help him fix it up with the help of his friend, Ed Billings.",https://static.wikia.nocookie.net/arthur/images/4/40/1x15b.png/revision/latest?cb=20141223052040,https://arthur.fandom.com/wiki/Grandpa_Dave%27s_Old_Country_Farm
"""Arthur and the Crunch Cereal Contest""",1,16a,28-Oct-96,"Arthur finds an entry form for a jingle writing contest for Crunch Cereal and he's determined to win the year's supply of it. He starts a band with some of his friends, Mrs. McGrady, and Grandma Thora, but he has nothing for them to play. Without a tune, he hears D.W. singing a song about Nadine and plagiarizes it. He feels guilty as he is about to mail it.",https://static.wikia.nocookie.net/arthur/images/e/ec/1x16a.png/revision/latest?cb=20100617160951,https://arthur.fandom.com/wiki/Arthur_and_the_Crunch_Cereal_Contest_(episode)
"""D.W. Flips""",1,16b,28-Oct-96,"D.W. wants to take gymnastics after seeing a gymnast on TV, but her mom gives several examples of her never finishing what she wants to do. She gets her way and goes to her first class. Emily is there and D.W. doesn't like her because she seems to do everything perfectly. D.W. is determined to be better than her and ends up making a new friend.",https://static.wikia.nocookie.net/arthur/images/e/ea/D.W._Flips_%28episode%29_011.png/revision/latest?cb=20100617161338,https://arthur.fandom.com/wiki/D.W._Flips_(episode)
"""Meek for a Week""",1,17a,29-Oct-96,"Muffy bets Francine she can't be nice to everyone for a whole week and she can't tell anyone about why she's being nice. Arthur and his friends are worried when she starts acting nice for no apparent reason and are worried she may ""pop"" if she continues bottling up her anger. They try fruitlessly to diffuse her.",https://static.wikia.nocookie.net/arthur/images/7/7e/1x17a.png/revision/latest?cb=20100612013906,https://arthur.fandom.com/wiki/Meek_for_a_Week
"""Arthur, World's Greatest Gleeper""",1,17b,29-Oct-96,"Arthur and Buster sit at the only available table with the Tough Customers. Buster claims that Arthur is the world's greatest ""gleeper"" to stop the teasing, only to find out later that ""gleep"" means ""steal."" He lets the lie grow into a schoolwide rumor.",https://static.wikia.nocookie.net/arthur/images/c/c0/1x17b.png/revision/latest?cb=20100612014846,"https://arthur.fandom.com/wiki/Arthur,_World%27s_Greatest_Gleeper"
"""Arthur's Chicken Pox""",1,18a,30-Oct-96,"Arthur gets the chicken pox. While he hopes he recovers in time for a family trip to the circus, D.W. is jealous of the attention and extra freedom he gets while Grandma Thora is taking care of him. In an attempt to regain the lost attention she fakes having chicken pox. In the end she. catches them from him and ends up missing the trip to the circus, but she doesn't mind, due to her finally having them.",https://static.wikia.nocookie.net/arthur/images/8/81/1x18a.png/revision/latest?cb=20111119231336,https://arthur.fandom.com/wiki/Arthur%27s_Chicken_Pox
"""Sick as a Dog""",1,18b,30-Oct-96,"Arthur feeds Pal things other than dog food, like pancakes and old gummy worms. He gets sick as a result. Arthur thinks D.W. had something to do with it. Then he finds out from the vet that it's the food Pal has eaten.",https://static.wikia.nocookie.net/arthur/images/2/2d/1x18b.png/revision/latest?cb=20100612013841,https://arthur.fandom.com/wiki/Sick_as_a_Dog
"""D.W. Rides Again""",1,19a,31-Oct-96,D.W. gets her first bike and needs to learn how to use it. Arthur teachers her the basics and she learns to ride by herself without training wheels in time for the bikeathon.,https://static.wikia.nocookie.net/arthur/images/0/06/1x19a.png/revision/latest?cb=20100618165130,https://arthur.fandom.com/wiki/D.W._Rides_Again_(episode)
"""Arthur Makes the Team""",1,19b,31-Oct-96,"Arthur and his friends are trying out for the baseball team and everyone wants to be the pitcher. Arthur makes it but he's the worst player. He and Francine, who can't pitch, work together to improve their skills.",https://static.wikia.nocookie.net/arthur/images/a/a8/1x19b.png/revision/latest?cb=20100612014847,https://arthur.fandom.com/wiki/Arthur_Makes_the_Team
"""Arthur's Almost Boring Day""",1,20a,1-Nov-96,"Arthur and his friends are assigned to write about what they do over Saturday, but it rains and ruins plans. Arthur and D.W. are sent over to Grandma Thora's house. Without anything better to do, they help her clean out her attic and find some interesting things, including old home movies.",https://static.wikia.nocookie.net/arthur/images/b/b1/1x20a.png/revision/latest?cb=20100614195346,https://arthur.fandom.com/wiki/Arthur%27s_Almost_Boring_Day
"""The Half-Baked Sale""",1,20b,1-Nov-96,"Grandma Thora can't cook. When she decides to bake cookies for the bake sale, Arthur tries to think up ways to stop her bad cooking from ruining it. He decides to buy all of her cookies before anyone else can. When Mr. Morris, the janitor, finds them in his closet, Arthur has to tell the truth.",https://static.wikia.nocookie.net/arthur/images/d/d8/1x20b.png/revision/latest?cb=20100616151011,https://arthur.fandom.com/wiki/The_Half-Baked_Sale
"""Sue Ellen Moves In""",1,21a,4-Nov-96,"Rumors are circulating about the new family that has moved to Elwood City and Buster thinks that they may be aliens, even after he met Sue Ellen. When his mom invites them over for dinner, he finds out that Sue Ellen isn't an alien, but just a kid who has lived in various places around the world.",https://static.wikia.nocookie.net/arthur/images/6/6f/1x21a.png/revision/latest?cb=20100616152513,https://arthur.fandom.com/wiki/Sue_Ellen_Moves_In
"""The Perfect Brother""",1,21b,4-Nov-96,"The Brain is spending the weekend with the Reads because his parents are going to an ice cream convention. Arthur thinks this will be like having a brother around, but he is neat, finishes his homework early, and reads to D.W., making Arthur look bad. However, Arthur discovers that he is not so neat when he invites him over to his own house, and he has to be polite as he is the houseguest.",https://static.wikia.nocookie.net/arthur/images/e/e3/1x21b.png/revision/latest?cb=20141220083202,https://arthur.fandom.com/wiki/The_Perfect_Brother
"""D.W.'s Snow Mystery""",1,22a,5-Nov-96,"D.W. kept a snowball in the freezer from the best day of her life, but it disappears. Buster, as a detective, investigates, listening to biased accounts of those present the day it did so. They argue and accuse each other but everyone, except D.W., lets the incident go as the first snowfall of the year appears.",https://static.wikia.nocookie.net/arthur/images/b/b7/1x22a.png/revision/latest?cb=20141220085233,https://arthur.fandom.com/wiki/D.W.%27s_Snow_Mystery
"""Team Trouble""",1,22b,5-Nov-96,"Arthur, Buster, and Francine are assigned to do a group project on Ancient Rome. They discuss how they're going to do it, each coming up with their own idea and eventually decide to draw a comic book. Each has their own idea of what to draw and after a failure to communicate have a mismatched one. They argue over this and finally realize that they need to work together to finish it.",https://static.wikia.nocookie.net/arthur/images/3/37/Team_Trouble.JPG/revision/latest?cb=20110912152150,https://arthur.fandom.com/wiki/Team_Trouble
"""Bully for Binky""",1,23a,6-Nov-96,"Binky has a reputation for being a bully. He bullies Sue Ellen, who is still a new student (""Sue Ellen Moves In""), and she demands that he apologize to her. When he doesn't, she challenges him to a fight to settle it. He gets nervous when he finds out she knows Tae Kwon Do. He decides to beat her at music but loses, so he apologizes to her so they wouldn't have to fight.",https://static.wikia.nocookie.net/arthur/images/7/77/1x23a.png/revision/latest?cb=20141223051404,https://arthur.fandom.com/wiki/Bully_for_Binky
"""Misfortune Teller""",1,23b,6-Nov-96,"For her half-birthday, Prunella's big sister, Rubella, gives her a cootie catcher. Rubella claims that it can tell the future and the answers it gives do come true. Arthur and his friends begin following the its advice. When it goes missing and turns up ruined by the washing machine, they realize that they don't need it to run their lives.",https://static.wikia.nocookie.net/arthur/images/b/b7/1x23b.png/revision/latest?cb=20100617162313,https://arthur.fandom.com/wiki/Misfortune_Teller
"""Arthur's Tooth""",1,24a,7-Nov-96,"Arthur has a loose tooth, but he is the only one in his class that hasn't lost any of his baby teeth yet. He unsuccessfully tries various ways to get it out so that Francine will stop calling him a baby. She, later, unintentionally knocks it out.",https://static.wikia.nocookie.net/arthur/images/7/7c/1x24a.png/revision/latest?cb=20100618164718,https://arthur.fandom.com/wiki/Arthur%27s_Tooth_(episode)
"""D.W. Gets Lost""",1,24b,7-Nov-96,"D.W. wants earrings because her friend, Emily, has some. She asks her mom and dad, but they claim her ears will turn green. After her persistence, Mrs. Read takes her shopping for earrings only if she approves of them. While at the All In One Mart, she wanders off when her mom is distracted. Lost, she runs into Emily, whose ears have turned green. Emily proceeds to direct her back to her mom.",https://static.wikia.nocookie.net/arthur/images/a/a4/1x24b.png/revision/latest?cb=20100621033619,https://arthur.fandom.com/wiki/D.W._Gets_Lost
"""D.W. Thinks Big""",1,25a,8-Nov-96,"At Aunt Lucy's wedding, Arthur is the ring bearer and their dramatic diva cousin, Cora, is the flower girl, but D.W. is too little to do anything. However, when the wedding ring gets lost in the pipe organ, D.W.'s size helps gets it back.",https://static.wikia.nocookie.net/arthur/images/3/32/1x25a.png/revision/latest?cb=20100618204650,https://arthur.fandom.com/wiki/D.W._Thinks_Big
"""Arthur Cleans Up""",1,25b,8-Nov-96,"Arthur and Buster are playing Frisbee in the park when it lands in a polluted fountain. Arthur's dad overhears him and Buster talking about the park and he involuntarily becomes the leader of a cleanup crew of kids. His friends aren't pleased and don't help him. But with the help of Francine's dad and a few volunteers, they manage to clean up the park.",https://static.wikia.nocookie.net/arthur/images/e/e7/1x25b.png/revision/latest?cb=20160918074549,https://arthur.fandom.com/wiki/Arthur_Cleans_Up
"""My Dad, the Garbage Man""",1,26a,11-Nov-96,"Mr. Ratburn's class is going on field trips to several of the students' parents at work to learn about careers. Francine is embarrassed by her dad's job as a garbage man, but her classmates don't seem to think so.",https://static.wikia.nocookie.net/arthur/images/7/78/1x26a.png/revision/latest?cb=20160614072531,"https://arthur.fandom.com/wiki/My_Dad,_the_Garbage_Man"
"""Poor Muffy""",1,26b,11-Nov-96,"Muffy is allergic to the new carpets in her house, so she decides to stay with Francine while it is being removed. She brings some of the things from her room with her including TVs, wardrobes, and sculptures. During her stay, Francine can't deal with her spoiled attitude and she can't handle the less-than-wealthy condition in which Francine's family lives.",https://static.wikia.nocookie.net/arthur/images/b/bb/1x26b.png/revision/latest?cb=20160124065546,https://arthur.fandom.com/wiki/Poor_Muffy
"""D.W.'s Blankie""",1,27a,12-Nov-96,"D.W. can't find her blankie and enlists the help of Arthur to search for it, retracing her steps over Elwood City.",https://static.wikia.nocookie.net/arthur/images/7/79/1x27a.png/revision/latest?cb=20100621184545,https://arthur.fandom.com/wiki/D.W.%27s_Blankie
"""Arthur's Substitute Teacher Trouble""",1,27b,12-Nov-96,"Mr. Ratburn loses his voice and his sister, Miss Ratburn, substitutes for him. Initially, the class is excited by the easiness of the lessons, doing things such as reciting the one times table and that yellow and blue make green. They are soon bored and are excited when Mr. Ratburn returns the next day.",https://static.wikia.nocookie.net/arthur/images/4/44/1x27b.png/revision/latest?cb=20100620204910,https://arthur.fandom.com/wiki/Arthur%27s_Substitute_Teacher_Trouble
"""I'm a Poet""",1,28a,13-Nov-96,"Fern is the only person who volunteers to enter the Poetry Competition, which is will be judged by Jack Prelutsky. When the others start making fun of her, she reveals a new side to her quiet character, and challenges them all to write poems for the competition. If they don't succeed, they will be roped into a year's membership of the School Poetry Club.",https://static.wikia.nocookie.net/arthur/images/c/c1/1x28a.png/revision/latest?cb=20100620232329,https://arthur.fandom.com/wiki/I%27m_a_Poet
"""The Scare-Your-Pants-Off Club""",1,28b,13-Nov-96,Arthur and his friends start a petition when they learn that the Scare-Your-Pants-Off books have been removed from the library. They find out that it's Muffy's parents who want them banned.,https://static.wikia.nocookie.net/arthur/images/0/0c/1x28b.png/revision/latest?cb=20100621005619,https://arthur.fandom.com/wiki/The_Scare-Your-Pants-Off_Club
"""My Club Rules""",1,29a,14-Nov-96,"Arthur and his friends create a club to stop D.W. from bothering them. When they can't agree on its rules it splits. This leads to more disagreements and more clubs created. They eventually come back together, under D.W..",https://static.wikia.nocookie.net/arthur/images/d/d9/1x29a.png/revision/latest?cb=20100621044216,https://arthur.fandom.com/wiki/My_Club_Rules
"""Stolen Bike""",1,29b,14-Nov-96,"Francine has outgrown her bike so her dad finds his old one for her, except she is embarrassed by it. She hides it and pretends it's stolen when it is accidentally taken way by a garbage truck.",https://static.wikia.nocookie.net/arthur/images/a/a4/1x29b.png/revision/latest?cb=20100621043839,https://arthur.fandom.com/wiki/Stolen_Bike
"""Arthur's First Sleepover""",1,30a,15-Nov-96,"Arthur has a sleepover with Buster and the Brain, even when all they talk of is UFOs. D.W. wants to join them so that she can take a picture of one. They don't agree. She plays a prank on them with fake UFOs in retaliation and vice versa.",https://static.wikia.nocookie.net/arthur/images/0/0b/1x30a.png/revision/latest?cb=20100621180900,https://arthur.fandom.com/wiki/Arthur%27s_First_Sleepover
"""Arthur's New Year's Eve""",1,30b,15-Nov-96,Arthur has never stayed up until midnight on New Year's Eve. His friends all have their theories on what occurs when the new year comes. He tries to stay up until New Year's Eve to find out what really happens at midnight.,https://static.wikia.nocookie.net/arthur/images/4/43/1x30b.png/revision/latest?cb=20100621175659,https://arthur.fandom.com/wiki/Arthur%27s_New_Year%27s_Eve
"""Arthur Meets Mister Rogers""",2,1a,20-Oct-97,Mister Rogers is visiting Mr. Ratburn's class and staying at Arthur's house. Arthur is afraid of telling anyone the latter because he doesn't want to be called a baby. It's not so bad when they find out.,https://static.wikia.nocookie.net/arthur/images/4/44/2x01a.png/revision/latest?cb=20140927225934,https://arthur.fandom.com/wiki/Arthur_Meets_Mister_Rogers
"""Draw!""",2,1b,20-Oct-97,"When Francine makes fun of Fern, she draws a comic humiliating her, which everyone finds amusing. Other comics about her are drawn. During the school carnival, those teasing her are convinced by Mrs. MacGrady to dump green slime on her. As they prepare to do so, they realize how much they hurt her feelings.",https://static.wikia.nocookie.net/arthur/images/3/3b/2x01b.png/revision/latest?cb=20100622190403,https://arthur.fandom.com/wiki/Draw!
"""Binky Barnes, Art Expert""",2,2a,21-Oct-97,"Arthur and Buster have to work with Binky on an art report, but they believe he will make them do all the work. He wants to do it on an abstract painting he believes is hanging sideways. To avoid embarrassment, Arthur and Buster make an agreement with him to do separate reports. Ironically, he is the only one who does any of the work and turns out to be correct.",https://static.wikia.nocookie.net/arthur/images/f/f4/2x02a.png/revision/latest?cb=20100624191118,"https://arthur.fandom.com/wiki/Binky_Barnes,_Art_Expert"
"""Arthur's Lucky Pencil""",2,2b,21-Oct-97,"Arthur's luck begins to change after he finds a pencil right before the stop of a rainstorm. After several lucky breaks, he and his friends are convinced that it is lucky. As it gets shorter, he is more conservative with it. Even with an upcoming history test, he won't let anyone use it, not even himself.",https://static.wikia.nocookie.net/arthur/images/f/f3/2x02b.png/revision/latest?cb=20100701152112,https://arthur.fandom.com/wiki/Arthur%27s_Lucky_Pencil
"""D.W., the Picky Eater""",2,3a,22-Oct-97,D.W.'s reluctance to eat unfamiliar food will keep the whole family from celebrating Grandma Thora's birthday at a special restaurant unless Arthur can persuade her to be more open-minded.,https://static.wikia.nocookie.net/arthur/images/2/2b/2x03a.png/revision/latest?cb=20100624204816,"https://arthur.fandom.com/wiki/D.W.,_the_Picky_Eater"
"""Buster and the Daredevils""",2,3b,22-Oct-97,"Buster begins keeping bad company in his eagerness to learn his new ""friends'"" skating tricks. Arthur realizes that they are just having Buster make a fool of himself for their own amusement.",https://static.wikia.nocookie.net/arthur/images/4/45/2x03b.png/revision/latest?cb=20100701150252,https://arthur.fandom.com/wiki/Buster_and_the_Daredevils
"""Arthur Makes a Movie""",2,4a,23-Oct-97,"Arthur and his friends are too young to watch a James Hound movie. They instead decide to make their own movie. Although it doesn't come out as planned, they have fun filming it.",https://static.wikia.nocookie.net/arthur/images/5/5d/2x04a.png/revision/latest?cb=20160902074250,https://arthur.fandom.com/wiki/Arthur_Makes_a_Movie
"""Go to Your Room, D.W.""",2,4b,23-Oct-97,"D.W. doesn't get along well with Kate and is sent to her room for ten minutes after threatening to pinch her. She thinks that her parents only love Arthur and Kate. While she watches Kate for the rest of her punishment, she realizes that she has been a horrible sister.",https://static.wikia.nocookie.net/arthur/images/5/52/2x04b.png/revision/latest?cb=20150421001001,"https://arthur.fandom.com/wiki/Go_to_Your_Room,_D.W."
