Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""Little Miss Meanie""",19,8b,3-Jun-15,"Lydia and Muffy join forces to topple a mean beauty queen in the ""Little Miss Crocus"" beauty pageant.[34]",https://static.wikia.nocookie.net/arthur/images/0/06/Muffy_and_Lydia.png/revision/latest?cb=20160910093652,https://arthur.fandom.com/wiki/Little_Miss_Meanie
"""Mr. Ratburn's Secret Identity""",19,9a,25-May-16,The kids suspects Mr. Ratburn is secretly a superhero when he receives mysterious calls and displays apparently superhuman strength.[3],https://static.wikia.nocookie.net/arthur/images/b/b1/Mr._Ratburn%27s_Secret_Identity_main_image.png/revision/latest?cb=20190216214414,https://arthur.fandom.com/wiki/Mr._Ratburn%27s_Secret_Identity
"""Besties""",19,9b,25-May-16,"Buster and Ladonna bond over a memorable trip to the movies, prompting Arthur to suspect she has taken his place as his best friend.",https://static.wikia.nocookie.net/arthur/images/b/b6/Besties_main_image.png/revision/latest?cb=20190216214511,https://arthur.fandom.com/wiki/Besties
"""The Last Day""",19,10,23-May-16,"The last day of school approaches, and Arthur and Buster look forward to fourth grade, where they hope to find themselves in the class of the cool new teacher Mr. Cramp.",https://static.wikia.nocookie.net/arthur/images/7/78/The_Last_Day_Facebook_1.jpg/revision/latest?cb=20191118150023,https://arthur.fandom.com/wiki/The_Last_Day
"""Buster's Second Chance""",20,1a,10-Oct-16,Buster turns back the clock to see what life would be like if he were a genius.[38][2],https://static.wikia.nocookie.net/arthur/images/8/81/Buster_Time_Portal.png/revision/latest?cb=20170307224746,https://arthur.fandom.com/wiki/Buster%27s_Second_Chance
"""Arthur and the Whole Truth""[39]",20,1b,10-Oct-16,Arthur finds out Buster has been lying to protect his feelings.[38][2],https://static.wikia.nocookie.net/arthur/images/1/16/Busterwascompletelywrong.png/revision/latest?cb=20170315000053,https://arthur.fandom.com/wiki/Arthur_and_the_Whole_Truth
"""Fern's Flights of Fancy""[40]",20,2a,11-Oct-16,Fern considers giving up being a writer after a rejection.[7],https://static.wikia.nocookie.net/arthur/images/f/fd/Ferns_Flight_of_Fancy.jpg/revision/latest?cb=20161012130137,https://arthur.fandom.com/wiki/Fern%27s_Flights_of_Fancy
"""Cereal""[40]",20,2b,11-Oct-16,Buster relays the story of a missing cereal box on his podcast.[7],https://static.wikia.nocookie.net/arthur/images/5/54/Podcasting.jpg/revision/latest?cb=20171028201414,https://arthur.fandom.com/wiki/Cereal
"""He Said, He Said""[42]",20,3a,12-Oct-16,"When an episode of Bionic Bunny is interrupted, Carl is the only one who can recall what comes next.[11]",https://static.wikia.nocookie.net/arthur/images/4/49/He_Said%2C_He_Said_main_image.png/revision/latest?cb=20180210001928,"https://arthur.fandom.com/wiki/He_Said,_He_Said"
"""Bunny Trouble""[42]",20,3b,12-Oct-16,"Larry, the class bunny, wanders off.[11]",https://static.wikia.nocookie.net/arthur/images/9/9c/14484822_10157543041500203_506382976502949147_n.jpg/revision/latest?cb=20161005222943,https://arthur.fandom.com/wiki/Bunny_Trouble
